"Plot ID","Row","Range","Source Stock","Block","Stand1","Stand2","Stand3","Final Stand"
"18SU1001_82","82","2","LD12-15129R1a_control","1","60","58","51","49"
"18SU1001_83","83","2","LD12-15129R1a_control","1","49","50","48","44"
"18SU1002_82","82","3","LD12-15129R1a_intego","1","63","64","64","54"
"18SU1002_83","83","3","LD12-15129R1a_intego","1","66","64","56","50"
"18SU1003_82","82","4","LD11-7311_intego","1","46","45","42","40"
"18SU1003_83","83","4","LD11-7311_intego","1","44","43","46","44"
"18SU1004_82","82","5","LD11-7311_control","1","19","19","20","20"
"18SU1004_83","83","5","LD11-7311_control","1","24","20","19","19"
"18SU1005_82","82","6","LD10-10219_intego","1","60","59","65","57"
"18SU1005_83","83","6","LD10-10219_intego","1","70","70","66","45"
"18SU1006_82","82","7","LD10-10219_control","1","58","52","52","48"
"18SU1006_83","83","7","LD10-10219_control","1","58","56","53","51"
"18SU1012_78","78","7","LD11-13802R2_control","1","35","47","34","34"
"18SU1012_79","79","7","LD11-13802R2_control","1","48","33","46","38"
"18SU1011_78","78","6","LD11-13802R2_intego","1","35","59","35","28"
"18SU1011_79","79","6","LD11-13802R2_intego","1","61","34","56","46"
"18SU1010_78","78","5","LD07-3395bf_intego","1","28","42","28","26"
"18SU1010_79","79","5","LD07-3395bf_intego","1","41","27","40","35"
"18SU1009_78","78","4","LD07-3395bf_control","1","12","20","10","10"
"18SU1009_79","79","4","LD07-3395bf_control","1","19","10","20","16"
"18SU1008_78","78","3","LD12-15156R1a_control","1","54","45","54","49"
"18SU1008_79","79","3","LD12-15156R1a_control","1","45","57","41","32"
"18SU1007_78","78","2","LD12-15156R1a_intego","1","17","30","17","17"
"18SU1007_79","79","2","LD12-15156R1a_intego","1","28","17","29","24"
"18SU1013_74","74","2","LD12-15064R1a_control","1","55","52","53","38"
"18SU1013_75","75","2","LD12-15064R1a_control","1","53","55","47","44"
"18SU1014_74","74","3","LD12-15064R1a_intego","1","59","60","66","55"
"18SU1014_75","75","3","LD12-15064R1a_intego","1","64","66","54","48"
"18SU1015_74","74","4","LD13-14071R2_control","1","64","67","57","50"
"18SU1015_75","75","4","LD13-14071R2_control","1","57","63","63","45"
"18SU1016_74","74","5","LD13-14071R2_intego","1","65","64","67","57"
