Date/Time,Range,Row,Weight,Moisture,Quick Note,Harvest Sequence,,Plot
10/18/2017 11:46,1,1,8.18,11.8,,1,,Fill
10/18/2017 11:46,2,1,9.43,12.2,,2,,17SU1057
10/18/2017 11:47,3,1,9.49,12.7,,3,,17SU1049
10/18/2017 11:47,4,1,9.14,12.2,,4,,17SU1041
10/18/2017 11:48,5,1,9.78,11.8,,5,,17SU1033
10/18/2017 11:48,6,1,9.23,12.3,,6,,17SU1025
10/18/2017 11:49,7,1,10.24,12.4,,7,,17SU1017
10/18/2017 11:49,8,1,9.85,11.9,,8,,17SU1009
10/18/2017 11:49,9,1,6.94,12.3,,9,,17SU1001
10/18/2017 11:50,10,1,2.98,11.7,,10,,Fill
10/18/2017 11:51,10,2,1.81,11.9,,11,,Fill
10/18/2017 11:51,9,2,8.03,12.7,,12,,17SU1002
10/18/2017 11:52,8,2,9.48,11.9,,13,,17SU1010
10/18/2017 11:52,7,2,10.35,12.3,,14,,17SU1018
10/18/2017 11:53,6,2,9.89,12.5,,15,,17SU1026
10/18/2017 11:53,5,2,10.49,11.9,,16,,17SU1034
10/18/2017 11:54,4,2,9.85,12.2,,17,,17SU1042
10/18/2017 11:54,3,2,10.2,12.6,,18,,17SU1050
10/18/2017 11:55,2,2,9.38,12.2,,19,,17SU1058
10/18/2017 11:56,1,2,8.96,11.6,,20,,Fill
10/18/2017 11:56,1,3,8.69,11.6,,21,,Fill
10/18/2017 11:57,2,3,10.68,12.6,,22,,17SU1059
10/18/2017 11:57,3,3,10.45,12,,23,,17SU1051
10/18/2017 11:58,4,3,10.58,12.7,,24,,17SU1043
10/18/2017 11:58,5,3,9.38,12,,25,,17SU1035
10/18/2017 11:59,6,3,10.19,11.8,,26,,17SU1027
10/18/2017 11:59,7,3,9.64,12.5,,27,,17SU1019
10/18/2017 12:00,8,3,9.55,12.4,,28,,17SU1011
10/18/2017 12:00,9,3,8.67,12.3,,29,,17SU1003
10/18/2017 12:01,10,3,2.48,11.6,,30,,Fill
10/18/2017 12:01,10,4,0.87,5.52,,31,,Fill
10/18/2017 12:02,9,4,8.68,12.2,,32,,17SU1004
10/18/2017 12:02,8,4,9.38,11.9,,33,,17SU1012
10/18/2017 12:03,7,4,9.84,11.9,,34,,17SU1020
10/18/2017 12:03,6,4,10.17,11.6,,35,,17SU1028
10/18/2017 12:04,5,4,9.05,11.8,,36,,17SU1036
10/18/2017 12:04,4,4,9.4,12.9,,37,,17SU1044
10/18/2017 12:05,3,4,10.2,11.8,,38,,17SU1052
10/18/2017 12:05,2,4,10.2,12.4,,39,,17SU1060
10/18/2017 12:06,1,4,7.81,11.4,,40,,Fill
10/18/2017 12:07,1,5,7.44,11.3,,41,,Fill
10/18/2017 12:07,2,5,9.54,12.1,,42,,17SU1061
10/18/2017 12:08,3,5,9.91,12.2,,43,,17SU1053
10/18/2017 12:08,4,5,9.52,12.4,,44,,17SU1045
10/18/2017 12:09,5,5,9.7,11.5,,45,,17SU1037
10/18/2017 12:09,6,5,9.55,11.5,,46,,17SU1029
10/18/2017 12:10,7,5,9.55,12,,47,,17SU1021
10/18/2017 12:10,8,5,10.03,11.8,,48,,17SU1013
10/18/2017 12:10,9,5,8.4,12.1,,49,,17SU1005
10/18/2017 12:11,10,5,1.02,8.29,,50,,Fill
10/18/2017 12:12,10,6,1.43,11.1,,51,,Fill
