location,whole_plot,block,variety,treatment,vc_plants.m2,v2_plants.m2,r8_plants.m2,yield_kg.ha
Urbana,Urbana:1:LD12-15156R1a,1,LD12-15156R1a,intego,32,28,27,3750.7
Urbana,Urbana:1:LD12-15156R1a,1,LD12-15156R1a,control,32,28,24,4320
Urbana,Urbana:1:LD13-14071R2,1,LD13-14071R2,control,30,30,29,4685.6
Urbana,Urbana:1:LD13-14071R2,1,LD13-14071R2,intego,30,28,26,4696.4
Urbana,Urbana:1:LD10-10219,1,LD10-10219,control,29,31,26,4761.3
Urbana,Urbana:1:LD10-10219,1,LD10-10219,intego,35,33,29,4512.2
Urbana,Urbana:1:LD11-7311,1,LD11-7311,intego,31,31,29,5347.6
Urbana,Urbana:1:LD11-7311,1,LD11-7311,control,27,27,25,5146.8
Urbana,Urbana:1:LD11-13802R2,1,LD11-13802R2,intego,33,30,28,5155.3
Urbana,Urbana:1:LD11-13802R2,1,LD11-13802R2,control,28,28,24,5092.5
Urbana,Urbana:1:LD11-10069,1,LD11-10069,intego,33,32,31,5451.6
Urbana,Urbana:1:LD11-10069,1,LD11-10069,control,31,31,31,5702.6
Urbana,Urbana:1:LD07-3395bf,1,LD07-3395bf,intego,34,30,28,5805.6
Urbana,Urbana:1:LD07-3395bf,1,LD07-3395bf,control,29,32,27,5652
Urbana,Urbana:2:LD07-3395bf,2,LD07-3395bf,intego,30,32,31,5527.8
Urbana,Urbana:2:LD07-3395bf,2,LD07-3395bf,control,26,28,24,5593.6
Urbana,Urbana:2:LD13-14071R2,2,LD13-14071R2,control,30,28,28,5178.9
Urbana,Urbana:2:LD13-14071R2,2,LD13-14071R2,intego,30,31,29,5536.8
Urbana,Urbana:2:LD11-13802R2,2,LD11-13802R2,intego,29,32,32,5140.1
Urbana,Urbana:2:LD11-13802R2,2,LD11-13802R2,control,23,30,25,5074.8
Urbana,Urbana:2:LD10-10219,2,LD10-10219,control,30,31,30,4988.3
Urbana,Urbana:2:LD10-10219,2,LD10-10219,intego,31,30,30,5332.8
Urbana,Urbana:2:LD11-10069,2,LD11-10069,intego,33,30,31,5538.5
Urbana,Urbana:2:LD11-10069,2,LD11-10069,control,30,31,28,5540.2
Urbana,Urbana:2:LD11-7311,2,LD11-7311,intego,29,30,27,5208.3
