location,whole_plot,block,variety,treatment,vc_plants.m2,v1_plants.m2,r2_plants.m2,r8_plants.m2,yield_kg.ha
"Boone, IA",1:C2888RX,1,C2888RX,intego,14,15,15,14,NA
"Boone, IA",2:C2888RX,2,C2888RX,intego,12,12,12,12,3139
"Boone, IA",3:C2888RX,3,C2888RX,intego,14,13,14,14,3298
"Boone, IA",4:C2888RX,4,C2888RX,intego,11,11,12,11,2938
"Boone, IA",1:C2888RX,1,C2888RX,control,10,11,12,10,3357
"Boone, IA",2:C2888RX,2,C2888RX,control,11,11,11,11,2929
"Boone, IA",3:C2888RX,3,C2888RX,control,12,13,14,13,3177
"Boone, IA",4:C2888RX,4,C2888RX,control,9,10,11,9,2807
"Boone, IA",1:C3140RX,1,C3140RX,intego,11,10,11,11,2878
"Boone, IA",2:C3140RX,2,C3140RX,intego,12,12,12,12,2946
"Boone, IA",3:C3140RX,3,C3140RX,intego,11,11,12,12,3064
"Boone, IA",4:C3140RX,4,C3140RX,intego,13,12,13,13,3271
"Boone, IA",1:C3140RX,1,C3140RX,control,8,9,9,9,2624
"Boone, IA",2:C3140RX,2,C3140RX,control,9,9,9,10,2867
"Boone, IA",3:C3140RX,3,C3140RX,control,6,7,7,7,2048
"Boone, IA",4:C3140RX,4,C3140RX,control,12,14,14,13,2597
"Boone, IA",1:AG28x7,1,AG28x7,intego,11,12,12,11,3095
"Boone, IA",2:AG28x7,2,AG28x7,intego,12,13,13,12,3380
"Boone, IA",3:AG28x7,3,AG28x7,intego,9,9,10,10,2868
"Boone, IA",4:AG28x7,4,AG28x7,intego,14,15,14,14,3234
"Boone, IA",1:AG28x7,1,AG28x7,control,11,11,11,11,3233
"Boone, IA",2:AG28x7,2,AG28x7,control,12,12,12,12,2912
"Boone, IA",3:AG28x7,3,AG28x7,control,10,11,10,9,2403
"Boone, IA",4:AG28x7,4,AG28x7,control,12,13,13,12,3071
"Boone, IA",1:NK2788X,1,NK2788X,intego,10,11,11,10,2791
"Boone, IA",2:NK2788X,2,NK2788X,intego,10,11,10,10,2558
"Boone, IA",3:NK2788X,3,NK2788X,intego,15,14,15,14,3319
"Boone, IA",4:NK2788X,4,NK2788X,intego,10,10,10,10,2347
"Boone, IA",1:NK2788X,1,NK2788X,control,9,9,10,9,2544
"Boone, IA",2:NK2788X,2,NK2788X,control,9,9,9,9,2743
"Boone, IA",3:NK2788X,3,NK2788X,control,9,9,10,9,2907
"Boone, IA",4:NK2788X,4,NK2788X,control,13,13,13,13,3131
"Boone, IA",1:H2862NX,1,H2862NX,intego,10,10,10,11,2722
"Boone, IA",2:H2862NX,2,H2862NX,intego,11,11,10,10,2484
"Boone, IA",3:H2862NX,3,H2862NX,intego,11,12,12,11,3167
"Boone, IA",4:H2862NX,4,H2862NX,intego,11,13,14,11,3221
"Boone, IA",1:H2862NX,1,H2862NX,control,11,12,10,11,2315
"Boone, IA",2:H2862NX,2,H2862NX,control,10,11,11,11,2705
"Boone, IA",3:H2862NX,3,H2862NX,control,9,9,9,8,2282
"Boone, IA",4:H2862NX,4,H2862NX,control,9,10,10,9,2662
"Boone, IA",1:H2512NX,1,H2512NX,intego,12,12,12,12,2884
"Boone, IA",2:H2512NX,2,H2512NX,intego,11,11,11,12,2800
"Boone, IA",3:H2512NX,3,H2512NX,intego,10,9,9,10,2728
"Boone, IA",4:H2512NX,4,H2512NX,intego,8,9,9,8,2311
"Boone, IA",1:H2512NX,1,H2512NX,control,10,10,11,11,2824
"Boone, IA",2:H2512NX,2,H2512NX,control,10,10,10,10,2584
"Boone, IA",3:H2512NX,3,H2512NX,control,13,13,13,13,2864
"Boone, IA",4:H2512NX,4,H2512NX,control,9,11,10,8,2270
"Boone, IA",1:NK3195X,1,NK3195X,intego,11,11,11,11,2832
"Boone, IA",2:NK3195X,2,NK3195X,intego,13,13,16,14,3517
"Boone, IA",3:NK3195X,3,NK3195X,intego,11,13,13,12,3300
"Boone, IA",4:NK3195X,4,NK3195X,intego,14,15,15,14,3306
"Boone, IA",1:NK3195X,1,NK3195X,control,7,7,7,7,1972
"Boone, IA",2:NK3195X,2,NK3195X,control,12,12,13,12,3006
"Boone, IA",3:NK3195X,3,NK3195X,control,14,14,14,14,3622
"Boone, IA",4:NK3195X,4,NK3195X,control,11,11,11,11,2905
