sub_plot,block,variety,treatment,vc_row1,vc_row2,v2_row1,v2_row2,damping_off,r8_row1,r8_row2,weight_lb,moisture,location,vc_plants.m2,v2_plants.m2,r8_plants.m2,yield_kg.ha,whole_plot
17SU0001,1,LD12-15156R1a,intego,26,23,20,23,0,18,23,6.94,12.3,Urbana,32,28,27,3750.7,Urbana:1:LD12-15156R1a
17SU0002,1,LD12-15156R1a,control,26,23,20,23,0,20,16,8.03,12.7,Urbana,32,28,24,4320,Urbana:1:LD12-15156R1a
17SU0003,1,LD13-14071R2,control,24,21,23,23,0,24,20,8.67,12.3,Urbana,30,30,29,4685.6,Urbana:1:LD13-14071R2
17SU0004,1,LD13-14071R2,intego,24,21,20,23,0,20,20,8.68,12.2,Urbana,30,28,26,4696.4,Urbana:1:LD13-14071R2
17SU0007,1,LD10-10219,control,24,20,27,21,0,22,17,8.8,12.2,Urbana,29,31,26,4761.3,Urbana:1:LD10-10219
17SU0008,1,LD10-10219,intego,29,25,25,26,0,23,21,8.33,12.1,Urbana,35,33,29,4512.2,Urbana:1:LD10-10219
17SU0009,1,LD11-7311,intego,25,23,24,24,0,22,22,9.85,11.9,Urbana,31,31,29,5347.6,Urbana:1:LD11-7311
17SU0010,1,LD11-7311,control,21,20,20,21,0,17,21,9.48,11.9,Urbana,27,27,25,5146.8,Urbana:1:LD11-7311
17SU0011,1,LD11-13802R2,intego,26,24,22,23,0,22,21,9.55,12.4,Urbana,33,30,28,5155.3,Urbana:1:LD11-13802R2
17SU0012,1,LD11-13802R2,control,24,18,23,20,0,17,19,9.38,11.9,Urbana,28,28,24,5092.5,Urbana:1:LD11-13802R2
17SU0013,1,LD11-10069,intego,25,25,25,24,0,22,26,10.03,11.8,Urbana,33,32,31,5451.6,Urbana:1:LD11-10069
17SU0014,1,LD11-10069,control,26,22,24,24,0,25,23,10.48,11.7,Urbana,31,31,31,5702.6,Urbana:1:LD11-10069
17SU0015,1,LD07-3395bf,intego,26,26,23,22,0,18,24,10.73,12.2,Urbana,34,30,28,5805.6,Urbana:1:LD07-3395bf
17SU0016,1,LD07-3395bf,control,23,21,24,25,0,18,23,10.47,12.4,Urbana,29,32,27,5652,Urbana:1:LD07-3395bf
17SU0017,2,LD07-3395bf,intego,23,22,25,24,0,22,26,10.24,12.4,Urbana,30,32,31,5527.8,Urbana:2:LD07-3395bf
17SU0018,2,LD07-3395bf,control,22,18,22,20,0,17,19,10.35,12.3,Urbana,26,28,24,5593.6,Urbana:2:LD07-3395bf
17SU0021,2,LD13-14071R2,control,25,20,23,20,0,20,23,9.55,12,Urbana,30,28,28,5178.9,Urbana:2:LD13-14071R2
17SU0022,2,LD13-14071R2,intego,23,23,22,26,0,21,23,10.21,12,Urbana,30,31,29,5536.8,Urbana:2:LD13-14071R2
