location,whole_plot,block,variety,treatment,vc_plants.m2,v2_plants.m2,v4_plants.m2,r8_plants.m2,yield_kg.ha
Urbana,1:LD12-15129R1a,1,LD12-15129R1a,control,23,23,21,20,2467
Urbana,1:LD12-15129R1a,1,LD12-15129R1a,intego,28,28,26,22,2396
Urbana,1:LD11-7311,1,LD11-7311,intego,19,19,19,18,3408
Urbana,1:LD11-7311,1,LD11-7311,control,9,8,8,8,3052
Urbana,1:LD10-10219,1,LD10-10219,intego,28,28,28,22,3270
Urbana,1:LD10-10219,1,LD10-10219,control,25,23,23,21,3027
Urbana,1:LD12-15156R1a,1,LD12-15156R1a,intego,10,10,10,9,3271
Urbana,1:LD12-15156R1a,1,LD12-15156R1a,control,21,22,20,17,3022
Urbana,1:LD07-3395bf,1,LD07-3395bf,control,7,6,6,6,2482
Urbana,1:LD07-3395bf,1,LD07-3395bf,intego,15,15,15,13,3194
Urbana,1:LD11-13802R2,1,LD11-13802R2,intego,21,20,20,16,3197
Urbana,1:LD11-13802R2,1,LD11-13802R2,control,18,17,17,15,3130
Urbana,1:LD12-15064R1a,1,LD12-15064R1a,control,23,23,22,18,2282
Urbana,1:LD12-15064R1a,1,LD12-15064R1a,intego,26,27,26,22,2564
Urbana,1:LD13-14071R2,1,LD13-14071R2,control,26,28,26,20,3735
Urbana,1:LD13-14071R2,1,LD13-14071R2,intego,28,28,27,21,4405
Urbana,1:LD13-13478R1a,1,LD13-13478R1a,control,11,12,11,10,3129
Urbana,1:LD13-13478R1a,1,LD13-13478R1a,intego,23,24,23,14,3704
Urbana,2:LD10-10219,2,LD10-10219,control,16,17,16,15,2382
Urbana,2:LD10-10219,2,LD10-10219,intego,26,26,26,20,2661
Urbana,2:LD12-15156R1a,2,LD12-15156R1a,intego,26,26,23,21,3569
Urbana,2:LD12-15156R1a,2,LD12-15156R1a,control,17,18,17,14,3001
Urbana,2:LD07-3395bf,2,LD07-3395bf,control,9,9,9,6,3087
Urbana,2:LD07-3395bf,2,LD07-3395bf,intego,22,23,21,12,4138
Urbana,2:LD11-13802R2,2,LD11-13802R2,control,18,16,15,14,2618
Urbana,2:LD11-13802R2,2,LD11-13802R2,intego,26,27,25,23,2886
Urbana,2:LD11-7311,2,LD11-7311,intego,25,26,24,23,3423
Urbana,2:LD11-7311,2,LD11-7311,control,13,13,15,13,2723
Urbana,2:LD12-15064R1a,2,LD12-15064R1a,intego,23,23,22,17,2291
Urbana,2:LD12-15064R1a,2,LD12-15064R1a,control,21,22,21,20,2294
Urbana,2:LD12-15129R1a,2,LD12-15129R1a,intego,28,28,27,22,3139
Urbana,2:LD12-15129R1a,2,LD12-15129R1a,control,22,24,23,15,2525
Urbana,2:LD13-14071R2,2,LD13-14071R2,control,25,26,25,20,3805
Urbana,2:LD13-14071R2,2,LD13-14071R2,intego,28,28,25,22,3942
Urbana,2:LD13-13478R1a,2,LD13-13478R1a,intego,17,18,19,15,3325
Urbana,2:LD13-13478R1a,2,LD13-13478R1a,control,22,23,21,17,3419
Urbana,3:LD12-15129R1a,3,LD12-15129R1a,control,25,24,23,18,3113
Urbana,3:LD12-15129R1a,3,LD12-15129R1a,intego,27,27,25,21,2945
Urbana,3:LD11-13802R2,3,LD11-13802R2,control,25,25,24,22,2901
Urbana,3:LD11-13802R2,3,LD11-13802R2,intego,25,26,26,22,2834
Urbana,3:LD13-13478R1a,3,LD13-13478R1a,control,20,20,20,17,3275
Urbana,3:LD13-13478R1a,3,LD13-13478R1a,intego,25,26,23,19,3489
Urbana,3:LD12-15064R1a,3,LD12-15064R1a,control,13,14,12,12,2362
Urbana,3:LD12-15064R1a,3,LD12-15064R1a,intego,26,27,26,21,2888
Urbana,3:LD12-15156R1a,3,LD12-15156R1a,control,25,24,23,22,3536
Urbana,3:LD12-15156R1a,3,LD12-15156R1a,intego,21,22,22,17,3157
Urbana,3:LD11-7311,3,LD11-7311,control,20,20,19,17,3366
Urbana,3:LD11-7311,3,LD11-7311,intego,25,25,25,21,3511
Urbana,3:LD13-14071R2,3,LD13-14071R2,control,24,24,20,19,4224
Urbana,3:LD13-14071R2,3,LD13-14071R2,intego,25,25,25,20,4320
Urbana,3:LD10-10219,3,LD10-10219,control,26,25,26,20,2998
Urbana,3:LD10-10219,3,LD10-10219,intego,28,29,26,23,2943
Urbana,3:LD07-3395bf,3,LD07-3395bf,intego,26,27,26,25,3885
Urbana,3:LD07-3395bf,3,LD07-3395bf,control,23,24,23,16,3670
Urbana,4:LD07-3395bf,4,LD07-3395bf,intego,29,29,28,24,4275
Urbana,4:LD07-3395bf,4,LD07-3395bf,control,23,23,23,17,3960
Urbana,4:LD11-13802R2,4,LD11-13802R2,intego,25,26,23,22,3503
Urbana,4:LD11-13802R2,4,LD11-13802R2,control,26,26,25,21,3188
Urbana,4:LD12-15129R1a,4,LD12-15129R1a,control,23,23,22,19,2592
Urbana,4:LD12-15129R1a,4,LD12-15129R1a,intego,27,26,27,21,3079
Urbana,4:LD12-15064R1a,4,LD12-15064R1a,intego,21,21,22,16,3234
Urbana,4:LD12-15064R1a,4,LD12-15064R1a,control,26,26,24,21,3495
Urbana,4:LD12-15156R1a,4,LD12-15156R1a,intego,24,25,24,17,3423
Urbana,4:LD12-15156R1a,4,LD12-15156R1a,control,19,20,20,16,3085
Urbana,4:LD11-7311,4,LD11-7311,control,25,25,25,20,3500
Urbana,4:LD11-7311,4,LD11-7311,intego,29,28,27,22,3639
Urbana,4:LD10-10219,4,LD10-10219,intego,28,28,25,24,3848
Urbana,4:LD10-10219,4,LD10-10219,control,27,28,26,22,4300
Urbana,4:LD13-14071R2,4,LD13-14071R2,intego,25,25,25,16,4440
Urbana,4:LD13-14071R2,4,LD13-14071R2,control,25,25,26,20,3683
Urbana,4:LD13-13478R1a,4,LD13-13478R1a,control,25,25,25,22,2952
Urbana,4:LD13-13478R1a,4,LD13-13478R1a,intego,24,25,24,22,2905
